	Df	SumOfSqs	R2	F	Pr(>F)	var	taxa
var7	1	5.64903447230343	0.0245007971685401	17.5059657423655	9.99900009999e-05	Radiation	Bacteria
var11	1	3.60929727907808	0.015654119476385	11.0844383980521	9.99900009999e-05	Vapor_Pressure	Bacteria
var6	1	3.20410852463946	0.0138967488077961	9.82253522369325	9.99900009999e-05	Precipitation	Bacteria
var5	1	3.09230662222544	0.0134118454588197	9.47513533562006	9.99900009999e-05	Potential_Evapotranspiration	Bacteria
var	1	3.06280880500743	0.0132839085449778	9.38353426687939	9.99900009999e-05	Actual_Evapotranspiration	Bacteria
var8	1	2.99168177072759	0.012975418828968	9.16275754050707	9.99900009999e-05	Runoff	Bacteria
var12	1	2.60118686191487	0.0112817778000318	7.95312451016183	9.99900009999e-05	Vapor_Pressure_Deficit	Bacteria
var10	1	2.13445373303163	0.00925747899663942	6.5127545491063	9.99900009999e-05	Soil_Moisture	Bacteria
var4	1	2.08062760196663	0.00902402616039693	6.34702192569475	9.99900009999e-05	Min_Temperature	Bacteria
var13	1	2.0253969028938	0.00878448148031141	6.17704573564486	9.99900009999e-05	Wind_Speed	Bacteria
var2	1	1.87825544344466	0.00814630462536005	5.72460873045524	9.99900009999e-05	Drought	Bacteria
var1	1	1.74794891558899	0.00758114365415664	5.32442233756365	9.99900009999e-05	Climate_Water_Deficit	Bacteria
var9	1	1.32259090052722	0.00573629556513591	4.02126517448637	9.99900009999e-05	Snow_Water_Equivalent	Bacteria
var3	1	0.666632104034717	0.0028912937329504	2.02107525408238	0.0038996100389961	Max_Temperature	Bacteria
