EnvironmentalFactors	BacteriaEpi	BacteriaEndo	FungiEpi	FungiEndo	Other-EukaryotesEpi	Other-EukaryotesEndo
Radiation	3.1	3.5	1.7	2	1.5	0.6
Precipitation	2.5	1.5	0.9	0.9	1.2	0.7
Vapor_Pressure	2	2.1	1.2	0.8	1.3	0.2
Runoff	1.9	2.1	1.8	1.8	1.5	1.4
Vapor_Pressure_Deficit	1.6	1.6	1	1.1	0.9	1.2
Potential_Evapotranspiration	1.6	2.3	1.1	1.6	1.1	1.1
Climate_Water_Deficit	1.5	0.7	0.7	0.9	0.5	0.6
Actual_Evapotranspiration	1.5	2.4	1.2	2	1.1	1.3
Wind_Speed	1.5	1.4	1.4	2.1	1	1.3
Min_Temperature	1.4	1	1.4	0.6	1.2	0.4
Drought	1.4	1.6	1.2	1	1.7	1.6
Snow_Water_Equivalent	1.2	0.7	0.6	0.4	1.2	1.1
Soil_Moisture	0.9	2.2	1.4	1.5	1.1	1.6
Max_Temperature	0.6	0.5	1	0.5	0.7	0.4
