Df,SumOfSqs,R2,F,Pr..F.,var,taxa,Compartment,R2_percentage
1,1,2.87731892539938,0.0308822640773582,11.0576302936413,9.99900009999e-05,Radiation,Bacteria,Epi,3.09
2,1,2.2984736990755,0.0246695182529546,8.77684333052087,9.99900009999e-05,Precipitation,Bacteria,Epi,2.47
3,1,1.90827413359076,0.0204815063096844,7.25569015311258,9.99900009999e-05,Vapor_Pressure,Bacteria,Epi,2.05
4,1,1.76042243246857,0.0188946139989169,6.6826980578995,9.99900009999e-05,Runoff,Bacteria,Epi,1.89
5,1,1.45344021931608,0.015599773899705,5.49890318965258,9.99900009999e-05,Vapor_Pressure_Deficit,Bacteria,Epi,1.56
6,1,1.44839214809899,0.0155455929512424,5.47950287535658,9.99900009999e-05,Potential_Evapotranspiration,Bacteria,Epi,1.55
7,1,1.42794627422947,0.0153261473866381,5.40094888175287,9.99900009999e-05,Climate_Water_Deficit,Bacteria,Epi,1.53
8,1,1.42432723729508,0.0152873042631571,5.38704802150043,9.99900009999e-05,Actual_Evapotranspiration,Bacteria,Epi,1.53
9,1,1.35932838595469,0.0145896715905677,5.13757152322386,9.99900009999e-05,Wind_Speed,Bacteria,Epi,1.46
10,1,1.34964404933158,0.01448572960542,5.10043164678701,9.99900009999e-05,Min_Temperature,Bacteria,Epi,1.45
11,1,1.30254204423021,0.0139801837838313,4.91990494836661,9.99900009999e-05,Drought,Bacteria,Epi,1.4
12,1,1.1262938251132,0.0120885116449216,4.24604186734603,9.99900009999e-05,Snow_Water_Equivalent,Bacteria,Epi,1.21
13,1,0.886261217450803,0.00951224166262267,3.33244689714355,9.99900009999e-05,Soil_Moisture,Bacteria,Epi,0.95
14,1,0.529865854449265,0.00568705022520433,1.98469347964629,0.0017998200179982,Max_Temperature,Bacteria,Epi,0.57
15,1,4.02957046810412,0.0346092869554872,12.3682606827527,9.99900009999e-05,Radiation,Bacteria,Endo,3.46
16,1,2.8316817939505,0.0243208273807831,8.59984068722643,9.99900009999e-05,Actual_Evapotranspiration,Bacteria,Endo,2.43
17,1,2.72772717094662,0.023427979022287,8.27655573686919,9.99900009999e-05,Potential_Evapotranspiration,Bacteria,Endo,2.34
18,1,2.56787854739243,0.0220550667166662,7.78059966188847,9.99900009999e-05,Soil_Moisture,Bacteria,Endo,2.21
19,1,2.46610090960427,0.0211809161093635,7.46554309983893,9.99900009999e-05,Vapor_Pressure,Bacteria,Endo,2.12
20,1,2.44668922541472,0.0210141924960843,7.40551737888202,9.99900009999e-05,Runoff,Bacteria,Endo,2.1
21,1,1.92268778290284,0.0165136343267876,5.79286509868584,9.99900009999e-05,Drought,Bacteria,Endo,1.65
22,1,1.834869232044,0.0157593759137021,5.52404011496126,9.99900009999e-05,Vapor_Pressure_Deficit,Bacteria,Endo,1.58
23,1,1.69773823466942,0.0145815813879094,5.1050858029568,9.99900009999e-05,Precipitation,Bacteria,Endo,1.46
24,1,1.66673096935269,0.0143152653248088,5.01049307483338,9.99900009999e-05,Wind_Speed,Bacteria,Endo,1.43
25,1,1.22273648812386,0.0105018731706989,3.66159990166021,9.99900009999e-05,Min_Temperature,Bacteria,Endo,1.05
26,1,0.816640753876653,0.007013986829162,2.43691796658225,0.0010998900109989,Climate_Water_Deficit,Bacteria,Endo,0.7
27,1,0.772809815618894,0.00663753044709884,2.30524916577508,0.000999900009999,Snow_Water_Equivalent,Bacteria,Endo,0.66
28,1,0.602998593327647,0.00517905109624513,1.7960745902803,0.0148985101489851,Max_Temperature,Bacteria,Endo,0.52
29,1,2.08215609136443,0.0181660781923976,5.75418122388191,9.99900009999e-05,Runoff,Fungi,Epi,1.82
30,1,1.97810502557519,0.0172582693086308,5.46157915895993,9.99900009999e-05,Radiation,Fungi,Epi,1.73
31,1,1.60836320898455,0.0140324022475388,4.4261871373183,9.99900009999e-05,Wind_Speed,Fungi,Epi,1.4
32,1,1.58504292260521,0.013828940966421,4.36111017572509,9.99900009999e-05,Soil_Moisture,Fungi,Epi,1.38
33,1,1.5724668273543,0.0137192189668886,4.32602680773429,9.99900009999e-05,Min_Temperature,Fungi,Epi,1.37
34,1,1.39490202089292,0.0121700286003386,3.8315084622736,9.99900009999e-05,Drought,Fungi,Epi,1.22
35,1,1.39061591504967,0.012132633837183,3.81959082019319,9.99900009999e-05,Vapor_Pressure,Fungi,Epi,1.21
36,1,1.34978381626699,0.011776388163613,3.70610120525032,9.99900009999e-05,Actual_Evapotranspiration,Fungi,Epi,1.18
37,1,1.23554848741349,0.0107797251733148,3.38902731192836,9.99900009999e-05,Potential_Evapotranspiration,Fungi,Epi,1.08
38,1,1.18048791517385,0.0102993410826255,3.23642815414547,9.99900009999e-05,Vapor_Pressure_Deficit,Fungi,Epi,1.03
39,1,1.107955865522,0.00966652450806844,3.03563314419515,9.99900009999e-05,Max_Temperature,Fungi,Epi,0.97
40,1,1.07632774351243,0.00939058028857039,2.94815535935055,9.99900009999e-05,Precipitation,Fungi,Epi,0.94
41,1,0.786652382634849,0.00686326483996504,2.14922607296887,0.0022997700229977,Climate_Water_Deficit,Fungi,Epi,0.69
42,1,0.665529024033472,0.00580650621730263,1.81637019843123,0.0085991400859914,Snow_Water_Equivalent,Fungi,Epi,0.58
