Correlation	P_Value	Taxa	Compartment	EnvironmentalFactors	cor_method	r2_cor
0.0594033379155037	0.268405392000864	Bacteria	Epi	Actual_evapotranspiration	Spearman	0.00352875655550352
-0.096416913005943	0.0720269342913368	Bacteria	Epi	Climate_water_deficit	Spearman	0.00929622111359559
-0.0735603178483689	0.170328742057699	Bacteria	Epi	Drought	Spearman	0.00541112036195306
-0.0117653284763642	0.826639511822501	Bacteria	Epi	Max_temperature	Spearman	0.000138422954156747
0.158691842560362	0.00295065255893303	Bacteria	Epi	Min_temperature	Spearman	0.0251831008952026
0.016669998692292	0.756313371045104	Bacteria	Epi	Potential_evapotranspiration	Spearman	0.000277888856401015
0.23381167370226	1.01656957032149e-05	Bacteria	Epi	Precipitation	Spearman	0.054667898759452
-0.220327641508281	3.28959826292294e-05	Bacteria	Epi	Radiation	Spearman	0.0485442696126014
0.0774570484133573	0.148740111620432	Bacteria	Epi	Runoff	Spearman	0.00599959434890918
-0.113031746460354	0.0347894514203167	Bacteria	Epi	Snow_water_equivalent	Spearman	0.0127761757078777
0.141299038023606	0.0082056373396201	Bacteria	Epi	Soil_moisture	Spearman	0.0199654181463964
0.187403191683231	0.000432111491592202	Bacteria	Epi	Vapor_pressure	Spearman	0.0351199562530618
-0.0321022411130912	0.550025514300103	Bacteria	Epi	Vapor_pressure_deficit	Spearman	0.00103055388448305
0.114657512914177	0.0322449189678525	Bacteria	Epi	Wind_speed	Spearman	0.0131463452676646
0.193438760638434	0.000579254758502569	Fungi	Epi	Actual_evapotranspiration	Spearman	0.0374185541173335
0.107131330661401	0.0583292279015333	Fungi	Epi	Climate_water_deficit	Spearman	0.0114771220092824
-0.0175875397399409	0.756610847303241	Fungi	Epi	Drought	Spearman	0.000309321554104
0.135080659563992	0.0167920824498099	Fungi	Epi	Max_temperature	Spearman	0.018246784588243
0.0819044740013821	0.148269661324424	Fungi	Epi	Min_temperature	Spearman	0.00670834286144308
0.20279184781254	0.000305030357456222	Fungi	Epi	Potential_evapotranspiration	Spearman	0.0411245335392244
-0.0125175511018245	0.825418944241711	Fungi	Epi	Precipitation	Spearman	0.000156689085586788
0.12142562105327	0.0317458574631801	Fungi	Epi	Radiation	Spearman	0.0147441814481724
-0.0820161374270041	0.147715510665995	Fungi	Epi	Runoff	Spearman	0.00672664679844522
-0.0262950150418952	0.643059638979999	Fungi	Epi	Snow_water_equivalent	Spearman	0.000691427816053496
0.125978076022774	0.0258306171151369	Fungi	Epi	Soil_moisture	Spearman	0.0158704756383998
0.0222464359723526	0.695018716617669	Fungi	Epi	Vapor_pressure	Spearman	0.000494903913471986
0.200346978279735	0.000361717755609992	Fungi	Epi	Vapor_pressure_deficit	Spearman	0.0401389117058205
0.154162777303308	0.00627867413153854	Fungi	Epi	Wind_speed	Spearman	0.0237661619058694
0.119109881136335	0.0262909479319268	Other-Eukaryotes	Epi	Actual_evapotranspiration	Spearman	0.0141871637843119
-0.0500375775515383	0.352027611849949	Other-Eukaryotes	Epi	Climate_water_deficit	Spearman	0.00250375916722621
-0.108825767587508	0.0424742380214391	Other-Eukaryotes	Epi	Drought	Spearman	0.0118430476910102
0.129317278764994	0.0157850976986103	Other-Eukaryotes	Epi	Max_temperature	Spearman	0.016722958587183
0.280669711438131	1.01293680304945e-07	Other-Eukaryotes	Epi	Min_temperature	Spearman	0.0787754869187639
0.111656522403695	0.037347442000509	Other-Eukaryotes	Epi	Potential_evapotranspiration	Spearman	0.0124671789952869
0.212346093275576	6.53422116410263e-05	Other-Eukaryotes	Epi	Precipitation	Spearman	0.0450908633293996
-0.133433017817701	0.0127256904541908	Other-Eukaryotes	Epi	Radiation	Spearman	0.0178043702439388
0.0806389648268753	0.133269209480243	Other-Eukaryotes	Epi	Runoff	Spearman	0.00650264264835003
-0.208260483040263	9.07526802141909e-05	Other-Eukaryotes	Epi	Snow_water_equivalent	Spearman	0.0433724287961638
0.028452908631701	0.596819646079882	Other-Eukaryotes	Epi	Soil_moisture	Spearman	0.000809568009603925
0.231666764820794	1.26732030337923e-05	Other-Eukaryotes	Epi	Vapor_pressure	Spearman	0.0536694899225333
0.106773451312505	0.0465513328171144	Other-Eukaryotes	Epi	Vapor_pressure_deficit	Spearman	0.0114005699051838
0.0664710960326947	0.216120797095489	Other-Eukaryotes	Epi	Wind_speed	Spearman	0.00441840660778772
-0.202272355357711	0.00014847477677573	Bacteria	Endo	Actual_evapotranspiration	Spearman	0.0409141057419559
-0.111210644071832	0.0383983753318874	Bacteria	Endo	Climate_water_deficit	Spearman	0.0123678073548717
0.0587437392791657	0.275154632943712	Bacteria	Endo	Drought	Spearman	0.00345082690449859
-0.0765235920236555	0.154904510295756	Bacteria	Endo	Max_temperature	Spearman	0.00585586013620287
0.115864017441938	0.0309440211919516	Bacteria	Endo	Min_temperature	Spearman	0.0134244705377857
-0.211287650180432	7.29292323836257e-05	Bacteria	Endo	Potential_evapotranspiration	Spearman	0.0446424711187688
0.163150123382784	0.002298830166458	Bacteria	Endo	Precipitation	Spearman	0.0266179627598177
-0.302701023543269	8.72115456874189e-09	Bacteria	Endo	Radiation	Spearman	0.0916279096541428
0.0307509773350268	0.568070588227031	Bacteria	Endo	Runoff	Spearman	0.000945622607059331
-0.117991882930346	0.0279707271693398	Bacteria	Endo	Snow_water_equivalent	Spearman	0.0139220844374485
0.0500667102457871	0.352444860469862	Bacteria	Endo	Soil_moisture	Spearman	0.00250667547483561
0.235278037987893	9.45563410347114e-06	Bacteria	Endo	Vapor_pressure	Spearman	0.0553557551594326
-0.200195856583196	0.000174139063938182	Bacteria	Endo	Vapor_pressure_deficit	Spearman	0.0400783809930795
-0.110443580131635	0.0397625927814017	Bacteria	Endo	Wind_speed	Spearman	0.012197784392293
-0.085475356536936	0.1458111400915	Fungi	Endo	Actual_evapotranspiration	Spearman	0.00730603657511633
0.0080621514664697	0.891077990971984	Fungi	Endo	Climate_water_deficit	Spearman	6.49982862682996e-05
-0.00268806403429961	0.963583112688994	Fungi	Endo	Drought	Spearman	7.2256882524951e-06
-0.0279363998536051	0.635071540182069	Fungi	Endo	Max_temperature	Spearman	0.000780442436780505
0.0404644693526337	0.491715514236426	Fungi	Endo	Min_temperature	Spearman	0.00163737327999023
-0.0895742635845763	0.127380897546463	Fungi	Endo	Potential_evapotranspiration	Spearman	0.00802354869671916
-0.0497651217232251	0.397664466466673	Fungi	Endo	Precipitation	Spearman	0.00247656734012741
-0.0662148169901281	0.26020166091267	Fungi	Endo	Radiation	Spearman	0.00438440198903615
-0.101126196341528	0.0850557485589429	Fungi	Endo	Runoff	Spearman	0.0102265075865053
-0.0551903441075984	0.348172565875316	Fungi	Endo	Snow_water_equivalent	Spearman	0.00304597408271512
-0.0104408792562526	0.859236379901851	Fungi	Endo	Soil_moisture	Spearman	0.000109011959643646
0.0142974916525897	0.808114157213107	Fungi	Endo	Vapor_pressure	Spearman	0.000204418267555871
-0.0533577745757367	0.364436364994193	Fungi	Endo	Vapor_pressure_deficit	Spearman	0.00284705210767514
-0.130449765372111	0.0260647644950171	Fungi	Endo	Wind_speed	Spearman	0.0170171412856387
-0.0442366137755816	0.460958315072613	Other-Eukaryotes	Endo	Actual_evapotranspiration	Spearman	0.00195687799832997
-0.125124296759466	0.0363853838385997	Other-Eukaryotes	Endo	Climate_water_deficit	Spearman	0.0156560896395509
