Df,SumOfSqs,R2,F,Pr(>F),var,taxa,Compartment
1,2.08215609136443,0.0181660781923976,5.75418122388191,9.99900009999e-05,Runoff,Fungi,Epi
1,1.97810502557519,0.0172582693086308,5.46157915895993,9.99900009999e-05,Radiation,Fungi,Epi
1,1.60836320898455,0.0140324022475388,4.4261871373183,9.99900009999e-05,Wind_Speed,Fungi,Epi
1,1.58504292260521,0.013828940966421,4.36111017572509,9.99900009999e-05,Soil_Moisture,Fungi,Epi
1,1.5724668273543,0.0137192189668886,4.32602680773429,9.99900009999e-05,Min_Temperature,Fungi,Epi
1,1.39490202089292,0.0121700286003386,3.8315084622736,9.99900009999e-05,Drought,Fungi,Epi
1,1.39061591504967,0.012132633837183,3.81959082019319,9.99900009999e-05,Vapor_Pressure,Fungi,Epi
1,1.34978381626699,0.011776388163613,3.70610120525032,9.99900009999e-05,Actual_Evapotranspiration,Fungi,Epi
1,1.23554848741349,0.0107797251733148,3.38902731192836,9.99900009999e-05,Potential_Evapotranspiration,Fungi,Epi
1,1.18048791517385,0.0102993410826255,3.23642815414547,9.99900009999e-05,Vapor_Pressure_Deficit,Fungi,Epi
1,1.107955865522,0.00966652450806844,3.03563314419515,9.99900009999e-05,Max_Temperature,Fungi,Epi
1,1.07632774351243,0.00939058028857039,2.94815535935055,9.99900009999e-05,Precipitation,Fungi,Epi
1,0.786652382634849,0.00686326483996504,2.14922607296887,0.0022997700229977,Climate_Water_Deficit,Fungi,Epi
1,0.665529024033472,0.00580650621730263,1.81637019843123,0.0085991400859914,Snow_Water_Equivalent,Fungi,Epi
1,2.57639835480619,0.0210353874069765,6.20985363762425,9.99900009999e-05,Wind_Speed,Fungi,Endo
1,2.51508537608199,0.020534788476639,6.05897361124103,9.99900009999e-05,Radiation,Fungi,Endo
1,2.39555611150025,0.0195588740252664,5.76527691826715,9.99900009999e-05,Actual_Evapotranspiration,Fungi,Endo
1,2.1508657603645,0.0175610632747326,5.16586537511892,9.99900009999e-05,Runoff,Fungi,Endo
1,1.98267155493474,0.0161878166786759,4.75525623635152,9.99900009999e-05,Potential_Evapotranspiration,Fungi,Endo
1,1.82875807786788,0.0149311672124873,4.38051350401383,9.99900009999e-05,Soil_Moisture,Fungi,Endo
1,1.33562857526175,0.0109049380737446,3.18627321541229,9.99900009999e-05,Vapor_Pressure_Deficit,Fungi,Endo
1,1.19656493916073,0.00976953234188223,2.85125022812241,0.0002999700029997,Drought,Fungi,Endo
1,1.16750276279281,0.00953224988218472,2.78133257304309,0.0001999800019998,Climate_Water_Deficit,Fungi,Endo
1,1.0833443718332,0.00884512618717042,2.57905352193725,0.0002999700029997,Precipitation,Fungi,Endo
1,0.948023763947272,0.00774028096565487,2.25439081740738,0.0016998300169983,Vapor_Pressure,Fungi,Endo
1,0.711773243605634,0.00581137846840888,1.68930557139433,0.0195980401959804,Min_Temperature,Fungi,Endo
1,0.616142410853185,0.00503058631674223,1.46119008840339,0.0572942705729427,Max_Temperature,Fungi,Endo
1,0.443225227834733,0.00361877826798658,1.0496252806031,0.353764623537646,Snow_Water_Equivalent,Fungi,Endo
