,Df,SumOfSqs,R2,F,Pr(>F),R2percentage,percentageleft,Taxa
sample$Compartment,1,7.07358102312039,0.111037842692809,32.1481695169753,9.99900009999e-05,11.1,88.9,Bacteria
sample$Site,5,6.4167727860112,0.100727567109184,5.8326185450436,9.99900009999e-05,10.1,89.9,Bacteria
sample$genotypecluster,5,1.80538025469226,0.0283400342861684,1.64102652618924,0.0001999800019998,2.8,97.2,Bacteria
sample$Season,1,2.43517671367292,0.0382262913195167,11.067445688268,9.99900009999e-05,3.8,96.2,Bacteria
sample$Compartment:sample$Site,5,3.33848511675264,0.0524060138725513,3.0345643914295,9.99900009999e-05,5.2,94.8,Bacteria
sample$Compartment:sample$genotypecluster,5,1.15540475219104,0.0181370158482638,1.05022188090442,0.328767123287671,1.8,98.2,Bacteria
sample$Site:sample$genotypecluster,12,3.12813231618129,0.04910399172797,1.1847338196809,0.0230976902309769,4.9,95.1,Bacteria
sample$Compartment:sample$Season,1,0.564108928754177,0.00885512419916887,2.56377489822385,0.0014998500149985,0.9,99.1,Bacteria
sample$Site:sample$Season,5,2.14008894770209,0.0335941384069616,1.94526483961252,9.99900009999e-05,3.4,96.6,Bacteria
sample$genotypecluster:sample$Season,5,1.65766987083721,0.0260213441753204,1.50676303379215,0.000999900009999,2.6,97.4,Bacteria
sample$Compartment:sample$Site:sample$genotypecluster,12,2.11749209066982,0.0332394232706961,0.801968791328442,0.993600639936006,3.3,96.7,Bacteria
sample$Compartment:sample$Site:sample$Season,5,1.5238785017354,0.0239211483979023,1.38515143141608,0.0066993300669933,2.4,97.6,Bacteria
sample$Compartment:sample$genotypecluster:sample$Season,4,0.940307821827744,0.0147605225219952,1.06838301404375,0.298970102989701,1.5,98.5,Bacteria
sample$Site:sample$genotypecluster:sample$Season,5,1.5304664890749,0.0240245636128372,1.39113967790887,0.0060993900609939,2.4,97.6,Bacteria
sample$Compartment:sample$Site:sample$genotypecluster:sample$Season,5,0.813527390481873,0.012770381241886,0.739467502257483,0.987501249875013,1.3,98.7,Bacteria
Residual,123,27.0637637823949,0.42483459731677,NA,NA,42.5,57.5,Bacteria
Total,199,63.7042367860998,1,NA,NA,100,0,Bacteria
sample$Compartment1,1,2.63390844567617,0.0373791833267016,9.81880459417147,9.99900009999e-05,3.7,96.3,Fungi
sample$Site1,5,8.11401173351496,0.115150218148225,6.04955694773554,9.99900009999e-05,11.5,88.5,Fungi
sample$genotypecluster1,5,1.53645586229678,0.021804655148305,1.14553411332325,0.14998500149985,2.2,97.8,Fungi
sample$Season1,1,4.84231013287573,0.0687197759203207,18.0513855966157,9.99900009999e-05,6.9,93.1,Fungi
sample$Compartment:sample$Site1,5,2.75611524367822,0.0391134844235322,2.05487453909937,9.99900009999e-05,3.9,96.1,Fungi
sample$Compartment:sample$genotypecluster1,5,1.24640414888249,0.0176883783704486,0.929280499732788,0.668733126687331,1.8,98.2,Fungi
sample$Site:sample$genotypecluster1,12,3.88993221742421,0.0552040788366183,1.20842229697849,0.0178982101789821,5.5,94.5,Fungi
sample$Compartment:sample$Season1,1,0.742580683072966,0.0105383539557032,2.76822629672993,0.0008999100089991,1.1,98.9,Fungi
